"doc_id","page_index","page_type","has_music","quality_comment"
"rsl01004475471","10","text","0",""
"rsl01004475471","11","text","0",""
"rsl01004475471","12","mixed","1",""
"rsl01004475471","13","mixed","1",""
"rsl01004475472","1","title","0",""
"rsl01004475472","2","title","0",""
"rsl01004475472","3","title","0",""
"rsl01004475472","5","title","0",""
"rsl01004476611","1","title","0",""
"rsl01004477659","1","title","0",""
"rsl01010549152","1","blank","0",""
"rsl01010549152","2","blank","0",""
"rsl01010549152","3","text","0",""
"rsl01010549152","4","blank","0",""
"rsl01010549152","5","title","0",""
"rsl01010549152","6","music","1",""
"rsl01010549152","7","music","1",""
"rsl01010549152","12","music","1",""
"rsl01010549152","13","music","1",""
"rsl01010549152","15","music","1",""
"rsl01010549152","16","blank","0",""
"rsl01010549152","17","music","1",""
"rsl01010549152","18","blank","0",""
"rsl01010549152","19","music","1",""
"rsl01010549152","20","blank","0",""
"rsl01010549152","21","music","1",""
"rsl01010549152","22","blank","0",""
"rsl01010549152","23","music","1",""
"rsl01010549152","24","blank","0",""
"rsl01010549152","25","music","1",""
"rsl01010549152","26","blank","0",""
"rsl01010549152","27","music","0",""
"rsl01010549152","28","blank","0",""
"rsl01010549152","29","music","1",""
"rsl01010549152","30","blank","0",""
"rsl01010549152","31","blank","0",""
"rsl01010590489","1","title","0",""
"rsl01010590489","2","title","0",""
"rsl01010590489","3","title","0",""
"rsl01010590489","4","text","0",""
"rsl01010590489","5","text","0",""
"rsl01010590489","6","text","0",""
"rsl01010590489","10","mixed","1",""
"rsl01010590489","14","mixed","1",""
"rsl01010590489","21","mixed","1",""
"rsl01010590489","26","text","0",""
"rsl01010590489","31","mixed","1",""
"rsl01010590489","39","text","0",""
"rsl01010590489","47","mixed","1",""
"rsl01010590489","54","mixed","1",""
"rsl01010590489","61","text","0",""
"rsl01010590489","68","title","0",""
"rsl01010590489","69","title","0",""
"rsl01011321153","1","blank","0",""
"rsl01011321153","2","blank","0",""
"rsl01011321153","4","unknown","0",""
"rsl01011321153","5","blank","0",""
"rsl01011371809","2","unknown","1",""
"rsl01011371809","3","unknown","1",""
"rsl01011551237","1","title","0",""
"rsl01011551237","14","unknown","1",""
"rsl01011551237","15","blank","0",""
"rsl01011764135","1","title","0",""
"rsl01011764135","3","text","0",""
"rsl01011764135","4","blank","0",""
"rsl01011764135","10","music","1",""
"rsl01011764135","14","music","1",""
"rsl01011764135","20","music","1",""
"rsl01011764135","27","music","1",""
"rsl01011764135","40","music","1",""
"rsl01011764135","44","music","1",""
"rsl01011764135","50","unknown","0",""
"rsl01011764135","51","blank","0",""
"rsl01011764135","52","blank","0",""
"rsl01011764135","53","blank","0",""
"rsl01011764135","54","blank","0",""
"rsl01011764135","55","blank","1",""
"rsl01011764135","56","blank","0",""
"rsl01011764135","57","blank","0",""
"rsl01011764135","58","blank","0",""
"rsl01011764135","59","blank","0",""
"rsl01012190186","1","blank","0",""
"rsl01012190186","2","blank","0",""
"rsl01012190186","3","blank","0",""
"rsl01012190186","4","blank","0",""
"rsl01012190186","5","title","0",""
"rsl01012190186","6","text","0",""
"rsl01012190186","7","text","0",""
"rsl01012190186","8","text","0",""
"rsl01012190186","13","mixed","1",""
"rsl01012190186","17","mixed","1",""
"rsl01012190186","21","mixed","1",""
"rsl01012190186","25","mixed","1",""
"rsl01012190186","29","mixed","1",""
"rsl01012190186","33","mixed","1",""
"rsl01012190186","37","mixed","1",""
"rsl01012190186","41","mixed","1",""
"rsl01012190186","45","mixed","1",""
"rsl01012190186","49","mixed","1",""
"rsl01012190186","53","mixed","1",""
"rsl01012190186","57","unknown","0",""
"rsl01012190186","58","blank","0",""
"rsl01012190186","59","blank","0",""
"rsl01012190186","60","blank","0",""
"rsl01012190186","61","blank","0",""
"rsl01012548998","1","title","0",""
"rsl01012548998","7","blank","0",""
"rsl01013682642","1","title","0",""
"rsl01013682642","2","blank","0",""
"rsl01013682642","3","blank","0",""
"rsl01013682642","4","blank","0",""
"rsl01013682642","5","blank","0",""
"rsl01013682642","6","blank","0",""
"rsl01013682642","7","title","0",""
"rsl01013682642","8","blank","0",""
"rsl01013682642","9","music","1",""
"rsl01013682642","17","unknown","0",""
"rsl01013682642","18","blank","0",""
"rsl01013682642","19","blank","0",""
"rsl01013682642","20","blank","1",""
"rsl01013682642","22","blank","0",""
"rsl01013682642","23","blank","1",""
"rsl01013687437","1","title","0",""
"rsl01013687437","2","blank","0",""
"rsl01013687437","3","blank","0",""
"rsl01013687437","4","blank","0",""
"rsl01013687437","5","blank","0",""
"rsl01013687437","6","blank","0",""
"rsl01013687437","7","blank","0",""
"rsl01013687437","8","text","0",""
"rsl01013687437","9","text","0",""
"rsl01013687437","10","text","0",""
"rsl01013687437","11","text","0",""
"rsl01013687437","12","text","0",""
"rsl01013687437","13","text","0",""
"rsl01013687437","14","blank","0",""
"rsl01013687437","15","music","1",""
"rsl01013687437","16","text","0",""
"rsl01013687437","17","music","1",""
"rsl01013687437","18","music","1",""
"rsl01013687437","19","music","1",""
"rsl01013687437","20","text","0",""
"rsl01013687437","21","music","1",""
"rsl01013687437","22","text","0",""
"rsl01013687437","23","music","1",""
"rsl01013687437","25","music","1",""
"rsl01013687437","26","blank","0",""
"rsl01013687437","27","music","1",""
"rsl01013687437","29","music","0",""
"rsl01013687437","30","blank","0",""
"rsl01013687437","32","blank","0",""
"rsl01013687437","33","music","1",""
"rsl01013687437","34","text","0",""
"rsl01013687437","35","music","1",""
"rsl01013687437","36","music","1",""
"rsl01013687437","38","blank","0",""
"rsl01013687437","39","blank","0",""
"rsl01013687437","40","blank","0",""
"rsl01013687437","41","blank","0",""
"rsl01013687437","42","blank","0",""
"rsl01013687437","43","blank","0",""
"rsl01013687437","44","blank","0",""
"rsl01013687437","45","blank","0",""
"rsl01013687437","46","blank","0",""
"rsl01013687437","47","blank","0",""
"rsl01013687437","48","blank","0",""
"rsl01013687437","49","blank","0",""
"rsl01013687437","50","blank","0",""
"rsl01013687437","51","blank","0",""
"rsl01013687437","52","blank","0",""
"rsl01013687437","53","blank","0",""
"rsl01013687437","54","blank","0",""
"rsl01013687437","55","blank","0",""
"rsl01013687437","56","blank","0",""
"rsl01013687437","57","blank","0",""
"rsl01013687437","58","blank","0",""
"rsl01013687437","59","blank","0",""
"rsl01013687437","60","blank","0",""
"rsl01013687437","61","blank","0",""
"rsl01013687437","62","blank","0",""
"rsl01013687437","63","blank","0",""
"rsl01013687437","64","blank","0",""
"rsl01013687437","65","blank","0",""
"rsl01013687437","66","blank","0",""
"rsl01013687437","67","blank","0",""
"rsl01013687437","68","blank","0",""
"rsl01013687437","69","blank","0",""
"rsl01013687437","70","blank","0",""
"rsl01013687437","71","blank","0",""
"rsl01013957967","1","title","0",""
"rsl01013957967","2","blank","0",""
"rsl01013957967","4","music","1",""
"rsl01013957967","6","music","1",""
"rsl01013957967","8","music","1",""
"rsl01013957967","10","music","1",""
"rsl01013957967","14","music","1",""
"rsl01013957967","18","music","1",""
"rsl01013957967","19","music","1",""
"rsl01013957967","20","music","1",""
"rsl01013957967","22","music","1",""
"rsl01013957967","27","music","0",""
"rsl01013957967","29","music","1",""
"rsl01013957967","31","music","1",""
"rsl01013957967","32","music","1",""
"rsl01013957967","33","music","1",""
"rsl01013957967","34","music","1",""
"rsl01013957967","36","music","1",""
"rsl01013957967","37","music","1",""
"rsl01013957967","43","music","1",""
"rsl01013957967","46","music","1",""
"rsl01013957967","48","music","1",""
"rsl01013957967","56","music","1",""
"rsl01013957967","58","music","1",""
"rsl01013957967","60","music","1",""
"rsl01013957967","62","music","1",""
"rsl01013957967","64","music","1",""
"rsl01013957967","65","music","1",""
"rsl01013957967","66","music","1",""
"rsl01013957967","68","music","1",""
"rsl01013957967","70","music","1",""
"rsl01013957967","72","music","1",""
"rsl01013957967","74","music","1",""
"rsl01013957967","75","music","1",""
"rsl01013957967","77","music","1",""
"rsl01013957967","79","music","1",""
"rsl01013957967","83","unknown","0",""
"rsl01013957967","84","blank","0",""
"rsl01013957967","85","blank","0",""
