doc_id,page_index,page_type,has_music,quality_comment,image_path,has_music_pred,has_music_score,validation_source,needs_review,omr_eval_group,mxl_path,selection_reason
rsl01010549152,13,music,1,,outputs\pages\rsl01010549152\page_013.png,0,0.285,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01010549152\page_013\page_013.mxl,failure_document;low_confidence
rsl01010549152,17,music,1,,outputs\pages\rsl01010549152\page_017.png,0,0.285,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01010549152\page_017\page_017.mxl,failure_document;low_confidence
rsl01010590489,14,mixed,1,,outputs\pages\rsl01010590489\page_014.png,1,0.6071,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01010590489\page_014\page_014.mxl,mixed;low_confidence
rsl01010590489,21,mixed,1,,outputs\pages\rsl01010590489\page_021.png,1,0.8251,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01010590489\page_021\page_021.mxl,mixed;low_confidence
rsl01010590489,25,music,1,,outputs\pages\rsl01010590489\page_025.png,1,0.9167,template_prediction,1,template_prediction,outputs\omr_300dpi\rsl01010590489\page_025\page_025.mxl,low_confidence;random_successful
rsl01011764135,14,music,1,,outputs\pages\rsl01011764135\page_014.png,0,0.285,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01011764135\page_014\page_014.mxl,low_confidence;document_coverage
rsl01011764135,40,music,1,,outputs\pages\rsl01011764135\page_040.png,0,0.285,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01011764135\page_040\page_040.mxl,low_confidence;random_successful
rsl01012190186,25,mixed,1,,outputs\pages\rsl01012190186\page_025.png,1,0.6,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01012190186\page_025\page_025.mxl,mixed;failure_document;low_confidence
rsl01012190186,29,mixed,1,,outputs\pages\rsl01012190186\page_029.png,1,0.6,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01012190186\page_029\page_029.mxl,mixed;failure_document;low_confidence
rsl01012190186,37,mixed,1,,outputs\pages\rsl01012190186\page_037.png,1,0.565,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01012190186\page_037\page_037.mxl,mixed;failure_document;low_confidence;random_successful
rsl01012190186,45,mixed,1,,outputs\pages\rsl01012190186\page_045.png,1,0.6,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01012190186\page_045\page_045.mxl,mixed;failure_document;low_confidence;random_successful
rsl01012190186,49,mixed,1,,outputs\pages\rsl01012190186\page_049.png,1,0.8,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01012190186\page_049\page_049.mxl,mixed;failure_document;low_confidence
rsl01013682642,9,music,1,,outputs\pages\rsl01013682642\page_009.png,0,0.285,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01013682642\page_009\page_009.mxl,failure_document;low_confidence
rsl01013687437,17,music,1,,outputs\pages\rsl01013687437\page_017.png,0,0.355,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01013687437\page_017\page_017.mvt1.mxl,failure_document;low_confidence
rsl01013687437,28,music,1,,outputs\pages\rsl01013687437\page_028.png,1,0.53,template_prediction,1,template_prediction,outputs\omr_300dpi\rsl01013687437\page_028\page_028.mvt1.mxl,failure_document;low_confidence
rsl01013687437,31,music,1,,outputs\pages\rsl01013687437\page_031.png,1,0.6,template_prediction,1,template_prediction,outputs\omr_300dpi\rsl01013687437\page_031\page_031.mxl,failure_document;low_confidence;random_successful
rsl01013957967,8,music,1,,outputs\pages\rsl01013957967\page_008.png,0,0.285,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01013957967\page_008\page_008.mxl,low_confidence;random_successful
rsl01013957967,18,music,1,,outputs\pages\rsl01013957967\page_018.png,0,0.285,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01013957967\page_018\page_018.mxl,low_confidence;random_successful
rsl01013957967,20,music,1,,outputs\pages\rsl01013957967\page_020.png,0,0.285,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01013957967\page_020\page_020.mxl,low_confidence;random_successful
rsl01013957967,31,music,1,,outputs\pages\rsl01013957967\page_031.png,0,0.285,manual_thesis,0,manual_validated,outputs\omr_300dpi\rsl01013957967\page_031\page_031.mxl,low_confidence;document_coverage
