doc_id,page_index,page_type,has_music,quality_comment,image_path,has_music_pred,has_music_score,validation_source,needs_review,review_reason,priority_group
rsl01004466011,3,unknown,0,,outputs\pages\rsl01004466011\page_003.png,0,0.0,manual_previous,1,unknown,unknown
rsl01004466011,50,music,1,,outputs\pages\rsl01004466011\page_050.png,1,0.9,manual_previous,1,uncertain_score;low_confidence_music,uncertain
rsl01004466011,80,music,1,,outputs\pages\rsl01004466011\page_080.png,1,1.0,manual_previous,0,last_2_pages,boundary_pages
rsl01004466011,81,music,1,,outputs\pages\rsl01004466011\page_081.png,1,1.0,manual_previous,0,last_2_pages,boundary_pages
rsl01004468752,1,title,0,,outputs\pages\rsl01004468752\page_001.png,0,0.0,manual_previous,0,first_2_pages,boundary_pages
rsl01004468752,2,music,1,,outputs\pages\rsl01004468752\page_002.png,1,1.0,manual_previous,0,first_2_pages,boundary_pages
rsl01004468752,7,music,1,,outputs\pages\rsl01004468752\page_007.png,1,0.8,manual_previous,1,uncertain_score;last_2_pages;low_confidence_music,boundary_pages;uncertain
rsl01004468752,8,music,1,,outputs\pages\rsl01004468752\page_008.png,1,1.0,manual_previous,0,last_2_pages,boundary_pages
rsl01004469137,1,title,0,,outputs\pages\rsl01004469137\page_001.png,0,0.2973,manual_previous,1,uncertain_score;first_2_pages;high_score_non_music,boundary_pages;uncertain
rsl01004469137,2,title,0,,outputs\pages\rsl01004469137\page_002.png,0,0.1839,manual_previous,1,uncertain_score;first_2_pages;high_score_non_music,boundary_pages;uncertain
rsl01004469137,21,music,1,,outputs\pages\rsl01004469137\page_021.png,1,1.0,manual_previous,0,random_confident_music,random_confident_music
rsl01004469137,145,music,1,,outputs\pages\rsl01004469137\page_145.png,1,0.6,manual_previous,1,uncertain_score;low_confidence_music,uncertain
rsl01004469137,270,music,1,,outputs\pages\rsl01004469137\page_270.png,1,1.0,manual_previous,0,last_2_pages,boundary_pages
rsl01004469137,271,music,1,,outputs\pages\rsl01004469137\page_271.png,1,1.0,manual_previous,0,last_2_pages,boundary_pages
rsl01004469140,1,music,1,,outputs\pages\rsl01004469140\page_001.png,1,1.0,template_prediction,1,template_prediction;first_2_pages,boundary_pages
rsl01004469140,2,unknown,0,,outputs\pages\rsl01004469140\page_002.png,0,0.0712,template_prediction,1,template_prediction;unknown;first_2_pages;high_score_non_music,boundary_pages;uncertain;unknown
rsl01004469140,21,music,1,,outputs\pages\rsl01004469140\page_021.png,1,0.9137,template_prediction,1,template_prediction;low_confidence_music,uncertain
rsl01004469140,24,music,1,,outputs\pages\rsl01004469140\page_024.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004469140,27,music,1,,outputs\pages\rsl01004469140\page_027.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004469140,34,music,1,,outputs\pages\rsl01004469140\page_034.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004469140,38,music,1,,outputs\pages\rsl01004469140\page_038.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004469140,61,music,1,,outputs\pages\rsl01004469140\page_061.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004469140,66,music,1,,outputs\pages\rsl01004469140\page_066.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004469140,115,music,1,,outputs\pages\rsl01004469140\page_115.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004469140,119,music,1,,outputs\pages\rsl01004469140\page_119.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004469140,134,music,1,,outputs\pages\rsl01004469140\page_134.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004469140,136,music,1,,outputs\pages\rsl01004469140\page_136.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004469140,151,music,1,,outputs\pages\rsl01004469140\page_151.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004469140,162,music,1,,outputs\pages\rsl01004469140\page_162.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004469140,164,music,1,,outputs\pages\rsl01004469140\page_164.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004469140,171,music,1,,outputs\pages\rsl01004469140\page_171.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004469140,179,music,1,,outputs\pages\rsl01004469140\page_179.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004469140,182,music,1,,outputs\pages\rsl01004469140\page_182.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004469140,201,music,1,,outputs\pages\rsl01004469140\page_201.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004469140,203,music,1,,outputs\pages\rsl01004469140\page_203.png,1,1.0,template_prediction,1,template_prediction;last_2_pages;random_confident_music,boundary_pages
rsl01004469140,204,music,1,,outputs\pages\rsl01004469140\page_204.png,1,1.0,template_prediction,1,template_prediction;last_2_pages,boundary_pages
rsl01004470876,1,unknown,0,,outputs\pages\rsl01004470876\page_001.png,0,0.1448,manual_previous,1,unknown;uncertain_score;first_2_pages;high_score_non_music,boundary_pages;uncertain;unknown
rsl01004470876,2,music,1,,outputs\pages\rsl01004470876\page_002.png,1,1.0,manual_previous,0,first_2_pages,boundary_pages
rsl01004470876,4,music,1,,outputs\pages\rsl01004470876\page_004.png,1,1.0,manual_previous,0,last_2_pages,boundary_pages
rsl01004470876,5,music,1,,outputs\pages\rsl01004470876\page_005.png,1,1.0,manual_previous,0,last_2_pages,boundary_pages
rsl01004470881,1,unknown,0,,outputs\pages\rsl01004470881\page_001.png,0,0.1078,template_prediction,1,template_prediction;unknown;uncertain_score;first_2_pages;high_score_non_music,boundary_pages;uncertain;unknown
rsl01004470881,2,music,1,,outputs\pages\rsl01004470881\page_002.png,1,1.0,template_prediction,1,template_prediction;first_2_pages,boundary_pages
rsl01004470881,3,music,1,,outputs\pages\rsl01004470881\page_003.png,1,1.0,template_prediction,1,template_prediction;last_2_pages,boundary_pages
rsl01004470881,4,music,1,,outputs\pages\rsl01004470881\page_004.png,1,1.0,template_prediction,1,template_prediction;last_2_pages;random_confident_music,boundary_pages
rsl01004470882,1,unknown,0,,outputs\pages\rsl01004470882\page_001.png,0,0.1444,template_prediction,1,template_prediction;unknown;uncertain_score;first_2_pages;high_score_non_music,boundary_pages;uncertain;unknown
rsl01004470882,2,music,1,,outputs\pages\rsl01004470882\page_002.png,1,0.9021,template_prediction,1,template_prediction;first_2_pages;last_2_pages;low_confidence_music,boundary_pages;uncertain
rsl01004470882,3,music,1,,outputs\pages\rsl01004470882\page_003.png,1,0.9996,template_prediction,1,template_prediction;last_2_pages,boundary_pages
rsl01004470997,1,unknown,0,,outputs\pages\rsl01004470997\page_001.png,0,0.2546,template_prediction,1,template_prediction;unknown;uncertain_score;first_2_pages;high_score_non_music,boundary_pages;uncertain;unknown
rsl01004470997,2,music,1,,outputs\pages\rsl01004470997\page_002.png,1,1.0,template_prediction,1,template_prediction;first_2_pages,boundary_pages
rsl01004470997,6,music,1,,outputs\pages\rsl01004470997\page_006.png,1,0.6,template_prediction,1,template_prediction;uncertain_score;low_confidence_music,uncertain
rsl01004470997,19,music,1,,outputs\pages\rsl01004470997\page_019.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004470997,27,music,1,,outputs\pages\rsl01004470997\page_027.png,1,1.0,template_prediction,1,template_prediction;last_2_pages,boundary_pages
rsl01004470997,28,music,1,,outputs\pages\rsl01004470997\page_028.png,1,1.0,template_prediction,1,template_prediction;last_2_pages,boundary_pages
rsl01004470999,1,music,1,,outputs\pages\rsl01004470999\page_001.png,1,0.6118,template_prediction,1,template_prediction;uncertain_score;first_2_pages;low_confidence_music,boundary_pages;uncertain
rsl01004470999,2,music,1,,outputs\pages\rsl01004470999\page_002.png,1,1.0,template_prediction,1,template_prediction;first_2_pages;last_2_pages,boundary_pages
rsl01004470999,3,music,1,,outputs\pages\rsl01004470999\page_003.png,1,1.0,template_prediction,1,template_prediction;last_2_pages,boundary_pages
rsl01004471003,1,unknown,0,,outputs\pages\rsl01004471003\page_001.png,0,0.3743,template_prediction,1,template_prediction;unknown;uncertain_score;first_2_pages;high_score_non_music,boundary_pages;uncertain;unknown
rsl01004471003,2,unknown,0,,outputs\pages\rsl01004471003\page_002.png,0,0.2574,template_prediction,1,template_prediction;unknown;uncertain_score;first_2_pages;high_score_non_music,boundary_pages;uncertain;unknown
rsl01004471003,3,unknown,0,,outputs\pages\rsl01004471003\page_003.png,0,0.0366,template_prediction,1,template_prediction;unknown,unknown
rsl01004471003,22,music,1,,outputs\pages\rsl01004471003\page_022.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004471003,31,music,1,,outputs\pages\rsl01004471003\page_031.png,1,0.8,template_prediction,1,template_prediction;uncertain_score;low_confidence_music,uncertain
rsl01004471003,32,music,1,,outputs\pages\rsl01004471003\page_032.png,1,0.8,template_prediction,1,template_prediction;uncertain_score;low_confidence_music,uncertain
rsl01004471003,33,music,1,,outputs\pages\rsl01004471003\page_033.png,1,0.8,template_prediction,1,template_prediction;uncertain_score;low_confidence_music,uncertain
rsl01004471003,34,music,1,,outputs\pages\rsl01004471003\page_034.png,1,0.8,template_prediction,1,template_prediction;uncertain_score;low_confidence_music,uncertain
rsl01004471003,35,music,1,,outputs\pages\rsl01004471003\page_035.png,1,0.6,template_prediction,1,template_prediction;uncertain_score;low_confidence_music,uncertain
rsl01004471003,45,music,1,,outputs\pages\rsl01004471003\page_045.png,1,1.0,template_prediction,1,template_prediction;last_2_pages,boundary_pages
rsl01004471003,46,music,1,,outputs\pages\rsl01004471003\page_046.png,1,1.0,template_prediction,1,template_prediction;last_2_pages,boundary_pages
rsl01004471369,1,music,1,,outputs\pages\rsl01004471369\page_001.png,1,0.741,template_prediction,1,template_prediction;uncertain_score;first_2_pages;low_confidence_music,boundary_pages;uncertain
rsl01004471369,2,music,1,,outputs\pages\rsl01004471369\page_002.png,1,1.0,template_prediction,1,template_prediction;first_2_pages,boundary_pages
rsl01004471369,8,music,1,,outputs\pages\rsl01004471369\page_008.png,1,1.0,template_prediction,1,template_prediction;last_2_pages,boundary_pages
rsl01004471369,9,music,1,,outputs\pages\rsl01004471369\page_009.png,1,1.0,template_prediction,1,template_prediction;last_2_pages,boundary_pages
rsl01004472531,1,unknown,0,,outputs\pages\rsl01004472531\page_001.png,0,0.3423,template_prediction,1,template_prediction;unknown;uncertain_score;first_2_pages;high_score_non_music,boundary_pages;uncertain;unknown
rsl01004472531,2,unknown,0,,outputs\pages\rsl01004472531\page_002.png,0,0.0708,template_prediction,1,template_prediction;unknown;first_2_pages;high_score_non_music,boundary_pages;uncertain;unknown
rsl01004472531,3,unknown,0,,outputs\pages\rsl01004472531\page_003.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472531,4,unknown,0,,outputs\pages\rsl01004472531\page_004.png,0,0.0706,template_prediction,1,template_prediction;unknown;high_score_non_music,uncertain;unknown
rsl01004472531,5,unknown,0,,outputs\pages\rsl01004472531\page_005.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472531,6,unknown,0,,outputs\pages\rsl01004472531\page_006.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472531,7,unknown,0,,outputs\pages\rsl01004472531\page_007.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472531,8,unknown,0,,outputs\pages\rsl01004472531\page_008.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472531,9,unknown,0,,outputs\pages\rsl01004472531\page_009.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472531,10,unknown,0,,outputs\pages\rsl01004472531\page_010.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472531,11,unknown,0,,outputs\pages\rsl01004472531\page_011.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472531,12,unknown,0,,outputs\pages\rsl01004472531\page_012.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472531,13,unknown,0,,outputs\pages\rsl01004472531\page_013.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472531,14,unknown,0,,outputs\pages\rsl01004472531\page_014.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472531,15,unknown,0,,outputs\pages\rsl01004472531\page_015.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472531,16,unknown,0,,outputs\pages\rsl01004472531\page_016.png,0,0.0365,template_prediction,1,template_prediction;unknown,unknown
rsl01004472531,17,unknown,0,,outputs\pages\rsl01004472531\page_017.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472531,18,unknown,0,,outputs\pages\rsl01004472531\page_018.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472531,19,unknown,0,,outputs\pages\rsl01004472531\page_019.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472531,25,music,1,,outputs\pages\rsl01004472531\page_025.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472531,33,music,1,,outputs\pages\rsl01004472531\page_033.png,1,1.0,template_prediction,1,template_prediction;random_confident_music,random_confident_music
rsl01004472531,40,music,1,,outputs\pages\rsl01004472531\page_040.png,1,0.9897,template_prediction,1,template_prediction;random_confident_music,random_confident_music
rsl01004472531,41,music,1,,outputs\pages\rsl01004472531\page_041.png,1,0.9171,template_prediction,1,template_prediction;low_confidence_music,uncertain
rsl01004472531,42,music,1,,outputs\pages\rsl01004472531\page_042.png,1,0.9658,template_prediction,1,template_prediction,random_confident_music
rsl01004472531,56,music,1,,outputs\pages\rsl01004472531\page_056.png,1,0.6,template_prediction,1,template_prediction;uncertain_score;low_confidence_music,uncertain
rsl01004472531,59,music,1,,outputs\pages\rsl01004472531\page_059.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472531,72,music,1,,outputs\pages\rsl01004472531\page_072.png,1,0.6,template_prediction,1,template_prediction;uncertain_score;low_confidence_music,uncertain
rsl01004472531,102,music,1,,outputs\pages\rsl01004472531\page_102.png,1,0.8,template_prediction,1,template_prediction;uncertain_score;low_confidence_music,uncertain
rsl01004472531,104,music,1,,outputs\pages\rsl01004472531\page_104.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472531,116,music,1,,outputs\pages\rsl01004472531\page_116.png,1,0.8,template_prediction,1,template_prediction;uncertain_score;low_confidence_music,uncertain
rsl01004472531,119,music,1,,outputs\pages\rsl01004472531\page_119.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472531,141,music,1,,outputs\pages\rsl01004472531\page_141.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472531,152,music,1,,outputs\pages\rsl01004472531\page_152.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472531,159,music,1,,outputs\pages\rsl01004472531\page_159.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472531,161,music,1,,outputs\pages\rsl01004472531\page_161.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472531,163,music,1,,outputs\pages\rsl01004472531\page_163.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472531,169,music,1,,outputs\pages\rsl01004472531\page_169.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472531,178,music,1,,outputs\pages\rsl01004472531\page_178.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472531,188,music,1,,outputs\pages\rsl01004472531\page_188.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472531,213,music,1,,outputs\pages\rsl01004472531\page_213.png,1,1.0,template_prediction,1,template_prediction;random_confident_music,random_confident_music
rsl01004472531,253,music,1,,outputs\pages\rsl01004472531\page_253.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472531,258,music,1,,outputs\pages\rsl01004472531\page_258.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472531,264,music,1,,outputs\pages\rsl01004472531\page_264.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472531,275,music,1,,outputs\pages\rsl01004472531\page_275.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472531,281,music,1,,outputs\pages\rsl01004472531\page_281.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472531,297,unknown,0,,outputs\pages\rsl01004472531\page_297.png,0,0.0,template_prediction,1,template_prediction;unknown;last_2_pages,boundary_pages;unknown
rsl01004472531,298,unknown,0,,outputs\pages\rsl01004472531\page_298.png,0,0.1508,template_prediction,1,template_prediction;unknown;uncertain_score;last_2_pages;high_score_non_music,boundary_pages;uncertain;unknown
rsl01004472532,1,unknown,0,,outputs\pages\rsl01004472532\page_001.png,0,0.3707,template_prediction,1,template_prediction;unknown;uncertain_score;first_2_pages;high_score_non_music,boundary_pages;uncertain;unknown
rsl01004472532,2,unknown,0,,outputs\pages\rsl01004472532\page_002.png,0,0.0353,template_prediction,1,template_prediction;unknown;first_2_pages,boundary_pages;unknown
rsl01004472532,3,unknown,0,,outputs\pages\rsl01004472532\page_003.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,4,unknown,0,,outputs\pages\rsl01004472532\page_004.png,0,0.0353,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,5,unknown,0,,outputs\pages\rsl01004472532\page_005.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,6,unknown,0,,outputs\pages\rsl01004472532\page_006.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,7,unknown,0,,outputs\pages\rsl01004472532\page_007.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,8,unknown,0,,outputs\pages\rsl01004472532\page_008.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,9,unknown,0,,outputs\pages\rsl01004472532\page_009.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,10,unknown,0,,outputs\pages\rsl01004472532\page_010.png,0,0.0364,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,11,unknown,0,,outputs\pages\rsl01004472532\page_011.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,12,unknown,0,,outputs\pages\rsl01004472532\page_012.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,13,unknown,0,,outputs\pages\rsl01004472532\page_013.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,14,unknown,0,,outputs\pages\rsl01004472532\page_014.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,15,unknown,0,,outputs\pages\rsl01004472532\page_015.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,16,unknown,0,,outputs\pages\rsl01004472532\page_016.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,17,unknown,0,,outputs\pages\rsl01004472532\page_017.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,18,unknown,0,,outputs\pages\rsl01004472532\page_018.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,19,unknown,0,,outputs\pages\rsl01004472532\page_019.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,20,unknown,0,,outputs\pages\rsl01004472532\page_020.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,21,unknown,0,,outputs\pages\rsl01004472532\page_021.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,22,unknown,0,,outputs\pages\rsl01004472532\page_022.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,23,unknown,0,,outputs\pages\rsl01004472532\page_023.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,24,unknown,0,,outputs\pages\rsl01004472532\page_024.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,25,unknown,0,,outputs\pages\rsl01004472532\page_025.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472532,33,music,1,,outputs\pages\rsl01004472532\page_033.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472532,41,music,1,,outputs\pages\rsl01004472532\page_041.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472532,130,music,1,,outputs\pages\rsl01004472532\page_130.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472532,137,music,1,,outputs\pages\rsl01004472532\page_137.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472532,145,music,1,,outputs\pages\rsl01004472532\page_145.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472532,168,music,1,,outputs\pages\rsl01004472532\page_168.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472532,176,music,1,,outputs\pages\rsl01004472532\page_176.png,1,1.0,template_prediction,1,template_prediction;random_confident_music,random_confident_music
rsl01004472532,181,music,1,,outputs\pages\rsl01004472532\page_181.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472532,188,music,1,,outputs\pages\rsl01004472532\page_188.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472532,199,music,1,,outputs\pages\rsl01004472532\page_199.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472532,216,music,1,,outputs\pages\rsl01004472532\page_216.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472532,218,music,1,,outputs\pages\rsl01004472532\page_218.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472532,219,music,1,,outputs\pages\rsl01004472532\page_219.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472532,300,music,1,,outputs\pages\rsl01004472532\page_300.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472532,305,music,1,,outputs\pages\rsl01004472532\page_305.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472532,306,music,1,,outputs\pages\rsl01004472532\page_306.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472532,341,music,1,,outputs\pages\rsl01004472532\page_341.png,1,1.0,template_prediction,1,template_prediction;last_2_pages,boundary_pages
rsl01004472532,342,music,1,,outputs\pages\rsl01004472532\page_342.png,1,1.0,template_prediction,1,template_prediction;last_2_pages,boundary_pages
rsl01004472536,1,music,1,,outputs\pages\rsl01004472536\page_001.png,1,0.9302,template_prediction,1,template_prediction;first_2_pages;low_confidence_music,boundary_pages;uncertain
rsl01004472536,2,music,1,,outputs\pages\rsl01004472536\page_002.png,1,0.857,template_prediction,1,template_prediction;uncertain_score;first_2_pages;low_confidence_music,boundary_pages;uncertain
rsl01004472536,3,unknown,0,,outputs\pages\rsl01004472536\page_003.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472536,21,music,1,,outputs\pages\rsl01004472536\page_021.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472536,30,music,1,,outputs\pages\rsl01004472536\page_030.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472536,42,music,1,,outputs\pages\rsl01004472536\page_042.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472536,44,music,1,,outputs\pages\rsl01004472536\page_044.png,1,0.8,template_prediction,1,template_prediction;uncertain_score;low_confidence_music,uncertain
rsl01004472536,49,music,1,,outputs\pages\rsl01004472536\page_049.png,1,1.0,template_prediction,1,template_prediction;random_confident_music,random_confident_music
rsl01004472536,101,music,1,,outputs\pages\rsl01004472536\page_101.png,1,0.8,template_prediction,1,template_prediction;uncertain_score;low_confidence_music,uncertain
rsl01004472536,138,music,1,,outputs\pages\rsl01004472536\page_138.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472536,142,music,1,,outputs\pages\rsl01004472536\page_142.png,1,0.6,template_prediction,1,template_prediction;uncertain_score;low_confidence_music,uncertain
rsl01004472536,147,music,1,,outputs\pages\rsl01004472536\page_147.png,1,1.0,template_prediction,1,template_prediction;last_2_pages,boundary_pages
rsl01004472536,148,music,1,,outputs\pages\rsl01004472536\page_148.png,1,1.0,template_prediction,1,template_prediction;last_2_pages,boundary_pages
rsl01004472537,1,music,1,,outputs\pages\rsl01004472537\page_001.png,1,0.9015,template_prediction,1,template_prediction;first_2_pages;low_confidence_music,boundary_pages;uncertain
rsl01004472537,2,music,1,,outputs\pages\rsl01004472537\page_002.png,1,1.0,template_prediction,1,template_prediction;first_2_pages,boundary_pages
rsl01004472537,3,unknown,0,,outputs\pages\rsl01004472537\page_003.png,0,0.0,template_prediction,1,template_prediction;unknown,unknown
rsl01004472537,41,music,1,,outputs\pages\rsl01004472537\page_041.png,1,0.9217,template_prediction,1,template_prediction;low_confidence_music,uncertain
rsl01004472537,53,music,1,,outputs\pages\rsl01004472537\page_053.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472537,58,music,1,,outputs\pages\rsl01004472537\page_058.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472537,76,music,1,,outputs\pages\rsl01004472537\page_076.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472537,90,music,1,,outputs\pages\rsl01004472537\page_090.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472537,100,music,1,,outputs\pages\rsl01004472537\page_100.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472537,109,music,1,,outputs\pages\rsl01004472537\page_109.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472537,142,music,1,,outputs\pages\rsl01004472537\page_142.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
rsl01004472537,166,music,1,,outputs\pages\rsl01004472537\page_166.png,1,1.0,template_prediction,1,template_prediction,random_confident_music
